lat,lon,radiance
21.831579,75.452632,0.562
21.831579,76.315789,0.606
21.831579,77.178947,0.619
21.831579,78.042105,0.409
21.831579,78.905263,0.664
21.831579,79.768421,0.555
21.831579,80.631579,0.617
21.831579,81.494737,0.745
21.831579,82.357895,0.717
21.831579,83.221053,0.383
21.831579,84.084211,0.336
21.831579,84.947368,0.956
21.831579,85.810526,2.912
21.831579,86.673684,12.574
21.831579,87.536842,17.872
21.831579,88.4,26.879
22.6,72.0,0.493
22.6,72.863158,0.931
22.6,73.726316,0.462
22.6,74.589474,0.497
22.6,75.452632,0.577
22.6,76.315789,0.506
22.6,77.178947,0.502
22.6,78.042105,0.559
22.6,78.905263,0.683
22.6,79.768421,0.306
22.6,80.631579,0.701
22.6,81.494737,0.345
22.6,82.357895,0.482
22.6,83.221053,0.398
22.6,84.084211,0.536
22.6,84.947368,1.26
22.6,85.810526,4.205
22.6,86.673684,15.586
22.6,87.536842,31.043
22.6,88.4,28.816
